server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/tangible/spawning/spawn_egg.iff	0	13246.5	75	3675.27	1	0	0	0		$|
object/tangible/buildout/buildout_placeholder_ring.iff	0	13116.9	75	3667.49	1	0	0	0		$|
object/tangible/buildout/buildout_placeholder_ring.iff	0	13116.4	75	3671.37	1	0	0	0		$|
object/tangible/buildout/buildout_placeholder_ring.iff	0	13022.6	78	3696.42	1	0	0	0		$|
object/tangible/buildout/buildout_placeholder_ring.iff	0	13241.2	75	3680.79	1	0	0	0		$|
object/tangible/buildout/buildout_placeholder_ring.iff	0	13252.9	75	3680.88	1	0	0	0		$|
object/tangible/planet_map_location/city.iff	0	13250.2	75	3765.85	1	0	0	0	planet_map.map_loc	$|
object/tangible/spawning/simple_spawn_item.iff	0	13262.1	75	3566.71	1	0	0	0		$|
object/tangible/spawning/simple_spawn_item.iff	0	13262.1	75	3566.71	1	0	0	0		$|
object/tangible/spawning/simple_spawn_item.iff	0	13262.1	75	3566.71	1	0	0	0		$|
object/building/taanab/ply_corl_house_m_s01_fp1.iff	0	2612.92	121.354	12781.8	0	0	1	0		portalProperty.crc|0|1374805460|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/building/general/rori_bat_cave.iff	0	2514.26	54.9592	12743.1	-0.707107	0	0.707107	0		portalProperty.crc|0|2132267142|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
object/building/taanab/cantina_taanab.iff	0	13146	75	3598	-0.707107	0	0.707107	0	planet_map.map_loc:structure.municipal.cantina:systems.gcw.gcw_data_updater:city.imperial_crackdown.crackdown_cantina	Imperial.controlScore|0|50|Rebel.controlScore|0|50|healing.canhealshock|0|1|intSpawnBartender|0|1|portalProperty.crc|0|-1192614423|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0	city.imperial_crackdown.door_check	$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/mobile/dressed_droid_enemy_07.iff	3	11.4432	-0.894991	-9.93633	0.739124	0	0.673569	0	theme_park.stp.invuln	stp.npc.name|4|IG-X1|$|
object/mobile/dressed_droid_enemy_09.iff	3	12.9794	-0.894992	-10.2785	0.900587	0	-0.434676	0	theme_park.stp.invuln	stp.npc.name|4|IG-X2|$|
object/static/worldbuilding/terminal/wall_monitorscreen_text_02.iff	3	22.8372	3.04462	12.6594	0.707108	0	0.707106	0		$|
object/static/worldbuilding/terminal/floor_console_sectional_01.iff	3	27.7003	-0.894994	7.42235	0.707123	0	-0.70709	0		$|
object/static/worldbuilding/terminal/floor_console_sectional_01.iff	3	27.6964	-0.894994	10.4927	0.707123	0	-0.70709	0		$|
object/mobile/imp_security_01r.iff	3	25.6978	-0.894994	9.02713	0.674235	0	0.738517	0	theme_park.stp.invuln	stp.npc.name|4|Captain Pellaeon|$|
object/tangible/terminal/terminal_character_builder.iff	3	11.1213	1.93866	12.2292	0	0	0.973666	-0.227977	terminal.terminal_character_builder	$|
object/mobile/dressed_dark_trooper_black_hole.iff	3	6.39013	-0.894992	5.94791	-0.117921	0	0.993023	0	systems.combat.credit_for_kills:theme_park.stp.factional_npc	ai.defaultCalmBehavior|0|1|ai.defaultCalmMood|4|npc_imperial|faction|4|Imperial|stp.faction|4|imperial|$|
object/mobile/dressed_dark_trooper_black_hole.iff	3	5.38009	-0.894992	6.02137	0.0830957	0	0.996542	0	systems.combat.credit_for_kills:theme_park.stp.factional_npc	ai.defaultCalmBehavior|0|1|ai.defaultCalmMood|4|npc_imperial|faction|4|Imperial|stp.faction|4|imperial|$|
object/tangible/loot/misc/speaker_s01.iff	3	11.9556	-0.899994	0.515681	0.707107	0	0.707107	0	theme_park.stp.wendle.boombox	$|
object/building/kashyyyk/wall_modular_restraining_wall_4m.iff	3	-8.53981	-0.894991	16.0729	-0.206209	0	0.978508	0		$|
object/building/kashyyyk/wall_modular_restraining_wall_4m.iff	3	-5.06004	-0.894992	14.5663	-0.200923	0	0.979607	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	4	23.8425	-0.894996	-15.7306	0	0	1	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	4	23.6575	-0.894996	-18.6178	0.999946	0	-0.0103984	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	4	19.5011	-0.894997	-17.7653	-0.707106	0	0.707108	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	4	16.9063	-0.894996	-17.7895	0.707132	0	0.707081	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	4	23.5642	-0.894996	-17.1837	-0.382683	0	0.92388	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	4	18.2477	-0.894997	-17.801	2.95028e-07	0	1	0		$|
object/tangible/furniture/all/frn_all_rug_rectangle_large_style_05.iff	4	23.5411	-0.894997	-17.3171	-0.707107	0	0.707107	0		$|
object/tangible/furniture/all/frn_all_rug_rectangle_large_style_05.iff	4	18.0763	-0.894996	-17.8681	1e-06	0	1	0		$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	16.5702	-0.812694	21.2088	-0.510526	0	0.859863	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	16.2916	-0.812694	19.5268	0.983843	0	-0.179031	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/table_modern_style_01.iff	5	22.1929	-0.889987	21.2063	-0.539968	0	0.841686	0		$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	20.9824	-0.812694	21.6399	0.526945	0	0.8499	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	21.3496	-0.812694	20.3235	0.947524	0	0.319685	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	15.1727	-0.812694	21.928	0.203958	0	0.97898	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/chair_modern_style_01.iff	5	22.3276	-0.812694	19.8401	0.99677	0	0.080312	0		occupied.limit|0|1|$|
